Commit SHA,Filename,Old function signature,New function signature,Overloaded
b01bc2af87ef5265e5b2f609dfc283d7aa931428,RetrofitError.java,"RetrofitError::unexpectedError( String url , Throwable exception)","RetrofitError::unexpectedError( String url , Response response , Converter converter , Type successType , Throwable exception)",Yes
b9fe6f99398843d84cb967cea29a53996019e4ba,MockHttpException.java,MockHttpException::toResponse( Converter converter),"MockHttpException::toResponse( Request request , Converter converter)",No
297a9ee8c88e7640619d4f15dfb305f9c281f320,RequestBuilder.java,"RequestBuilder::addPathParam( String name , String value)","RequestBuilder::addPathParam( String name , String value , boolean urlEncodeValue)",No
297a9ee8c88e7640619d4f15dfb305f9c281f320,RequestBuilder.java,"RequestBuilder::addQueryParam( String name , String value)","RequestBuilder::addQueryParam( String name , Object value , boolean encodeName , boolean encodeValue)",Yes
2ca195069c02c48d7d862913247e08000e282439,MethodInfo.java,MethodInfo::MethodInfo( Method method),"MethodInfo::MethodInfo( Method method , List<CallAdapter.Factory> factories)",No
9b203b66891c1d363529a1b2b46c8968bf54d7cc,MethodInfo.java,"MethodInfo::MethodInfo( Method method , List<CallAdapter.Factory> factories)","MethodInfo::MethodInfo( Method method , List<CallAdapter.Factory> factories , Converter converter)",No
f15eee44eda9750b9d1341ff0801385426775e1f,RequestBuilder.java,"RequestBuilder::RequestBuilder( HttpUrl url , MethodInfo methodInfo)","RequestBuilder::RequestBuilder( String method , HttpUrl url , String pathUrl , String queryParams , Headers headers , MediaType mediaType , boolean hasBody , boolean isFormEncoded , boolean isMultipart)",No
f4a12cbb41130fe88bfb84f390e5985ab62dade0,Platform.java,Platform::defaultCallAdapterFactory(),Platform::defaultCallAdapterFactory( Executor callbackExecutor),No
f4a12cbb41130fe88bfb84f390e5985ab62dade0,Platform.java,Platform::Android::defaultCallAdapterFactory(),Platform::Android::defaultCallAdapterFactory( Executor callbackExecutor),No
f4a12cbb41130fe88bfb84f390e5985ab62dade0,Retrofit.java,"Retrofit::Retrofit( OkHttpClient client , Endpoint endpoint , Converter . Factory converterFactory , CallAdapter . Factory adapterFactory)","Retrofit::Retrofit( OkHttpClient client , Endpoint endpoint , Converter . Factory converterFactory , CallAdapter . Factory adapterFactory , Executor callbackExecutor)",No
d03d9c0016dfa36012b9899db36fe6eb6e62167e,SimpleMockService.java,SimpleMockService::MockGitHub::MockGitHub(),SimpleMockService::MockGitHub::MockGitHub( MockRetrofit mockRetrofit),No
4c584a5c8718944f3bd1e34bfb4d3014dae08fd7,RequestFactoryParser.java,"RequestFactoryParser::parameterError( int index , String message , Object ... args)","RequestFactoryParser::parameterError( Throwable cause , int index , String message , Object ... args)",Yes
c43f1ec30d1e2d6a9b7b3863cd19e01b72c5fd32,RxJavaCallAdapterFactory.java,RxJavaCallAdapterFactory::get( Type returnType),"RxJavaCallAdapterFactory::get( Type returnType , Annotation [ ] annotations)",No
c43f1ec30d1e2d6a9b7b3863cd19e01b72c5fd32,RxJavaCallAdapterFactoryTest.java,RxJavaCallAdapterFactoryTest::StringConverterFactory::get( Type type),"RxJavaCallAdapterFactoryTest::StringConverterFactory::get( Type type , Annotation [ ] annotations)",No
c43f1ec30d1e2d6a9b7b3863cd19e01b72c5fd32,GsonConverterFactory.java,GsonConverterFactory::get( Type type),"GsonConverterFactory::get( Type type , Annotation [ ] annotations)",No
c43f1ec30d1e2d6a9b7b3863cd19e01b72c5fd32,JacksonConverterFactory.java,JacksonConverterFactory::get( Type type),"JacksonConverterFactory::get( Type type , Annotation [ ] annotations)",No
c43f1ec30d1e2d6a9b7b3863cd19e01b72c5fd32,MoshiConverterFactory.java,MoshiConverterFactory::get( Type type),"MoshiConverterFactory::get( Type type , Annotation [ ] annotations)",No
c43f1ec30d1e2d6a9b7b3863cd19e01b72c5fd32,ProtoConverterFactory.java,ProtoConverterFactory::get( Type type),"ProtoConverterFactory::get( Type type , Annotation [ ] annotations)",No
c43f1ec30d1e2d6a9b7b3863cd19e01b72c5fd32,SimpleXmlConverterFactory.java,SimpleXmlConverterFactory::get( Type type),"SimpleXmlConverterFactory::get( Type type , Annotation [ ] annotations)",No
c43f1ec30d1e2d6a9b7b3863cd19e01b72c5fd32,WireConverterFactory.java,WireConverterFactory::get( Type type),"WireConverterFactory::get( Type type , Annotation [ ] annotations)",No
c43f1ec30d1e2d6a9b7b3863cd19e01b72c5fd32,ExecutorCallAdapterFactory.java,ExecutorCallAdapterFactory::get( Type returnType),"ExecutorCallAdapterFactory::get( Type returnType , Annotation [ ] annotations)",No
c43f1ec30d1e2d6a9b7b3863cd19e01b72c5fd32,OkHttpBodyConverterFactory.java,OkHttpBodyConverterFactory::get( Type type),"OkHttpBodyConverterFactory::get( Type type , Annotation [ ] annotations)",No
c43f1ec30d1e2d6a9b7b3863cd19e01b72c5fd32,RequestBuilderAction.java,"RequestBuilderAction::PartMap::PartMap( List<Converter.Factory> converterFactories , String transferEncoding)","RequestBuilderAction::PartMap::PartMap( List<Converter.Factory> converterFactories , String transferEncoding , Annotation [ ] annotations)",No
c43f1ec30d1e2d6a9b7b3863cd19e01b72c5fd32,Utils.java,"Utils::resolveCallAdapter( List<CallAdapter.Factory> adapterFactories , Type type)","Utils::resolveCallAdapter( List<CallAdapter.Factory> adapterFactories , Type type , Annotation [ ] annotations)",No
c43f1ec30d1e2d6a9b7b3863cd19e01b72c5fd32,Utils.java,"Utils::resolveConverter( List<Converter.Factory> converterFactories , Type type)","Utils::resolveConverter( List<Converter.Factory> converterFactories , Type type , Annotation [ ] annotations)",No
c43f1ec30d1e2d6a9b7b3863cd19e01b72c5fd32,ToStringConverterFactory.java,ToStringConverterFactory::get( Type type),"ToStringConverterFactory::get( Type type , Annotation [ ] annotations)",No
c43f1ec30d1e2d6a9b7b3863cd19e01b72c5fd32,CustomCallAdapter.java,CustomCallAdapter::ListenableFutureCallAdapterFactory::get( Type returnType),"CustomCallAdapter::ListenableFutureCallAdapterFactory::get( Type returnType , Annotation [ ] annotations)",No
7bcdfb3f5b2cf23965eac5f4779612313c4e652b,Retrofit.java,"Retrofit::Retrofit( OkHttpClient client , BaseUrl baseUrl , List<Converter.Factory> converterFactories , List<CallAdapter.Factory> adapterFactories , Executor callbackExecutor)","Retrofit::Retrofit( OkHttpClient client , BaseUrl baseUrl , List<Converter.Factory> converterFactories , List<CallAdapter.Factory> adapterFactories , Executor callbackExecutor , boolean validateEagerly)",No
eddc0aea76968547b8caf6eeef4663c2ab84714d,RxJavaCallAdapterFactory.java,"RxJavaCallAdapterFactory::get( Type returnType , Annotation [ ] annotations)","RxJavaCallAdapterFactory::get( Type returnType , Annotation [ ] annotations , Retrofit retrofit)",No
eddc0aea76968547b8caf6eeef4663c2ab84714d,ExecutorCallAdapterFactory.java,"ExecutorCallAdapterFactory::get( Type returnType , Annotation [ ] annotations)","ExecutorCallAdapterFactory::get( Type returnType , Annotation [ ] annotations , Retrofit retrofit)",No
eddc0aea76968547b8caf6eeef4663c2ab84714d,CustomCallAdapter.java,"CustomCallAdapter::ListenableFutureCallAdapterFactory::get( Type returnType , Annotation [ ] annotations)","CustomCallAdapter::ListenableFutureCallAdapterFactory::get( Type returnType , Annotation [ ] annotations , Retrofit retrofit)",No
3a777472334263c6f6d1e9cc255b1288bcc02e48,Calls.java,Calls::response( T successValue),"Calls::response( T successValue , Retrofit retrofit)",Yes
3a777472334263c6f6d1e9cc255b1288bcc02e48,Calls.java,Calls::response( final Response<T> response),"Calls::response( final Response<T> response , final Retrofit retrofit)",Yes
3a777472334263c6f6d1e9cc255b1288bcc02e48,ExecutorCallAdapterFactory.java,ExecutorCallAdapterFactory::ExecutorCallback<T>::onResponse( final Response<T> response),"ExecutorCallAdapterFactory::ExecutorCallback<T>::onResponse( final Response<T> response , final Retrofit retrofit)",No
3a777472334263c6f6d1e9cc255b1288bcc02e48,CustomCallAdapter.java,CustomCallAdapter::ListenableFutureCallAdapterFactory::CallFuture<T>::onResponse( Response<T> response),"CustomCallAdapter::ListenableFutureCallAdapterFactory::CallFuture<T>::onResponse( Response<T> response , Retrofit retrofit)",No
3a777472334263c6f6d1e9cc255b1288bcc02e48,SimpleMockService.java,SimpleMockService::MockGitHub::MockGitHub(),SimpleMockService::MockGitHub::MockGitHub( Retrofit retrofit),No
afef3c5604c1e8e3278f75f3fb000cdda65459a6,RequestFactoryParser.java,"RequestFactoryParser::parse( Method method , Retrofit retrofit)","RequestFactoryParser::parse( Method method , Type responseType , Retrofit retrofit)",No
afef3c5604c1e8e3278f75f3fb000cdda65459a6,RequestFactoryParser.java,RequestFactoryParser::parseMethodAnnotations(),RequestFactoryParser::parseMethodAnnotations( Type responseType),No
e64df3ebb2b24633c9723d39a44ee6a4eab1002a,GsonRequestBodyConverter.java,GsonRequestBodyConverter<T>::GsonRequestBodyConverter( TypeAdapter<T> adapter),"GsonRequestBodyConverter<T>::GsonRequestBodyConverter( Gson gson , Type type)",No
e64df3ebb2b24633c9723d39a44ee6a4eab1002a,GsonResponseBodyConverter.java,GsonResponseBodyConverter<T>::GsonResponseBodyConverter( TypeAdapter<T> adapter),"GsonResponseBodyConverter<T>::GsonResponseBodyConverter( Gson gson , Type type)",No
60b870757b04450d4eaa1edf8949f97854fec741,GsonRequestBodyConverter.java,GsonRequestBodyConverter<T>::GsonRequestBodyConverter( TypeAdapter<T> adapter),"GsonRequestBodyConverter<T>::GsonRequestBodyConverter( Gson gson , TypeAdapter<T> adapter)",No
fed4420381efab4c328f2fb25939f9950353b781,Phone.java,Phone::Phone( Builder builder),"Phone::Phone( String number , ByteString unknownFields)",Yes
22663293e92ccbce70de005cec1ac163d4ba7d1c,Retrofit.java,Retrofit::Builder::validateEagerly(),Retrofit::Builder::validateEagerly( boolean validateEagerly),No
3b788b43a599b6971a355e2439dba5c9101051f3,RxJavaCallAdapterFactoryTest.java,"RxJavaCallAdapterFactoryTest::StringConverterFactory::responseBodyConverter( Type type , Annotation [ ] annotations)","RxJavaCallAdapterFactoryTest::StringConverterFactory::responseBodyConverter( Type type , Annotation [ ] annotations , Retrofit retrofit)",No
3b788b43a599b6971a355e2439dba5c9101051f3,RxJavaCallAdapterFactoryTest.java,"RxJavaCallAdapterFactoryTest::StringConverterFactory::requestBodyConverter( Type type , Annotation [ ] annotations)","RxJavaCallAdapterFactoryTest::StringConverterFactory::requestBodyConverter( Type type , Annotation [ ] annotations , Retrofit retrofit)",No
3b788b43a599b6971a355e2439dba5c9101051f3,GsonConverterFactory.java,"GsonConverterFactory::responseBodyConverter( Type type , Annotation [ ] annotations)","GsonConverterFactory::responseBodyConverter( Type type , Annotation [ ] annotations , Retrofit retrofit)",No
3b788b43a599b6971a355e2439dba5c9101051f3,GsonConverterFactory.java,"GsonConverterFactory::requestBodyConverter( Type type , Annotation [ ] annotations)","GsonConverterFactory::requestBodyConverter( Type type , Annotation [ ] annotations , Retrofit retrofit)",No
3b788b43a599b6971a355e2439dba5c9101051f3,JacksonConverterFactory.java,"JacksonConverterFactory::responseBodyConverter( Type type , Annotation [ ] annotations)","JacksonConverterFactory::responseBodyConverter( Type type , Annotation [ ] annotations , Retrofit retrofit)",No
3b788b43a599b6971a355e2439dba5c9101051f3,JacksonConverterFactory.java,"JacksonConverterFactory::requestBodyConverter( Type type , Annotation [ ] annotations)","JacksonConverterFactory::requestBodyConverter( Type type , Annotation [ ] annotations , Retrofit retrofit)",No
